latitude,longitude,sorting
57.213,-167.917,0.58
57.0239,-169.5492,1.2624
56.98867,-169.827,0.63
56.97733,-169.955,0.57
57.03283,-169.61083,0.65
57.5,-165.51667,1.19
57.73,-162.738,0.26
57.966,-158.175,2.1
57.967,-158.257,1.51
57.0325,-169.73467,0.6
57.92,-159.5,0.37
57.916,-159.616,1.05
57.083,-169.366,0.48888
56.89667,-170.77283,1.5423
57.783,-162.1,1.23
57.51833,-165.46333,1.15
57.66933,-163.74233,0.425
56.9805,-170.25183,0.8
57.913,-160.142,0.65
57.967,-158.95,0.55
57.16767,-168.93067,0.86
57.02183,-170.16817,0.94
57.616,-164.833,1.19
57.983,-159.166,1.11
56.94267,-170.78467,1.5644
57.668,-164.272,0.62
57.02217,-170.2465,1.23
57.667,-164.383,0.84
57.01433,-170.3445,0.97
58.004333333333335,-158.93983333333333,0.566
57.835,-162.18,0.32
57.04083,-170.19317,1.33
57.172,-169.23283,0.87
57.933,-160.766,1.59
57.05833,-170.1695,0.75
57.04417,-170.278,1.08
57.9,-161.5,1.04
57.07567,-170.09433,1.69
57.1395,-169.70633,0.83
56.97,-170.98,1.55
57.16733,-169.5395,0.77
57.1065,-170.01983,0.71
57.04817,-170.469,1.57
57.08717,-170.19817,0.9
57.74,-164.24,0.55
58,-160.333,1.03
57.9835,-160.7305,0.35375
57.716,-164.616,1
57.111,-170.137,0.55
57.99,-160.68667,0.47
57.07833,-170.40983,1.25
57.17183,-169.74367,0.81
57.96033,-161.42633,0.35375
58.10917,-158.32383,0.82343
57.883,-162.7,1.31
57.04067,-170.797,1.4737
57.098,-170.4085,0.87
57.11967,-170.25483,0.82
58,-161.01,0.6
58.08067,-159.46983,0.49396
57.1375,-170.19917,0.77
57.1775,-169.937,2.69
57.10217,-170.49733,0.72
57.10633,-170.473,0.71
57.12167,-170.37433,0.44
57.40667,-168.11667,0.7
58.133,-158.491,0.99
57.17633,-170.01167,2.17
57.89333,-163.015,0.34
57.11783,-170.52983,0.95
57.19633,-169.9525,1.58
58.077,-160.2375,0.49396
57.575,-166.79667,1.06
57.1985,-170.05883,0.81
56.737,-173.192,0.51
57.667,-166.098,1.33
57.04167,-171.3,1.56
57.11967,-170.81233,1.4704
57.179,-170.44333,1.19
58.22,-157.70833,2.23
58.216,-158.466,2.22
57.95,-163.333,0.89
57.198,-170.528,1.78
57.2725,-170.03667,1.69
57.22467,-170.39567,0.67
58.2,-159.458,0.69
57.17583,-170.8235,2.2
58,-163.083,0.4
58.27033,-158.07367,3.82244
58.066,-162.266,1.13
57.2685,-170.2805,0.68
57.5,-168.5,0.69
57.33183,-169.88967,2.05
58.218,-160.227,2.18
57.27767,-170.4775,1.61
57.58,-168.117,0.91
58.316,-158,1.91
57.38333,-169.76667,0.36
58.24567,-160.10317,0.49396
58.05,-163.533,1.05
58.3005,-159.32167,0.37179
57.66483,-167.78133,1.3894
57.44167,-169.6585,0.63
57.3665,-170.2665,1.5
57.66667,-167.86667,0.86
58.27217,-160.53583,1.07032
57.58783,-168.607,1.455
58.308,-160.083,1.78
58.383,-158.3,2.32
58.34667,-159.3,0.44
57.34967,-170.59333,0.74
58.405,-157.7,1.42
58.033,-164.45,0.54
57.68,-168.05,0.93
58.16,-162.918,0.29
58.41167,-158.395,3.77181
57.5355,-169.43233,2.39
58.325,-160.50767,1.40533
58.35,-160.233,0.91
57.442,-170.26283,0.8
58.32,-160.922,1.38
58,-165.43,0.5
57.5,-170,0.31
57.783,-167.717,0.78
57.517,-170,1.05
57.73983,-168.20317,1.3254
58.333,-161.352,0.56
57.98983333333334,-165.90591666666666,1.379
58.49833,-157.78833,1.9
58.045,-165.497,0.97
58.3195,-161.99867,0.24222
58.447,-159.69233,2.0091
57.845,-167.58,0.89
58.4,-160.75,0.45
58.23,-163.467,0.32
57.5,-170.48333,0.5
57.47317,-170.80167,0.88
57.80167,-168.26833,0.82
58.4085,-161.20767,1.93261
57.883,-167.75,0.91
58.508,-159.75,1.74
58.322,-163.013,0.29871
58.142,-165.29,0.72
58.328,-163.217,0.3
57.62133,-170.26183,0.85
57.45333,-171.48333,1.52
57.77983,-169.0355,1.5653
58.48,-161.27,1.48
58.483,-161.266,1.63
58.433,-162.268,0.58
58.586,-159.80267,0.47693
57.74667,-169.64167,0.76
57.412,-172.092,1.46
57.5,-171.5,1.7
57.205,-173.46167,1.43
58.661,-158.486,2.33
57.33417,-172.71133,1.96
57.84467,-169.04683,1.9307
57.59867,-170.98333,0.68
57.883,-168.833,0.78518
58.0917,-167,0.41481
57.78,-169.75,1.52
58.455,-163.07167,0.23
58.651,-159.916,2.1
58.57317,-161.9445,1.01787
58.022,-168.282,0.76
58.075,-167.85,1.01
57.78017,-170.27033,0.8
58.163,-167.178,0.72
58.08833,-168.20667,0.89
58.333,-166,0.25185
57.68433,-171.51,1.5083
58.38833,-165.5,0.36
57.77,-170.97,2.67
58.633,-162.622,0.19
58.0275,-169.07217,1.6521
58.78,-160.21,2.19
58.78233,-160.2335,4.78229
57.4,-173.56667,1.16
58.633,-163.14,0.26
57.73833,-171.51667,1.5326
58.69,-162.52,2.34
58.083,-169.033,0.47
58.62,-163.85,0.3
58.768,-162.505,2.38
58.433,-166.717,0.35
57.495,-173.878,0.96
58.75,-163.233,0.54814
57.87167,-171.65667,2.16
57.605,-173.42,1.66
58.95,-160.44,0.64
58.31367,-168.28983,1.42
58.155,-169.61667,1.15
58.867,-162.522,0.26
58.763,-164.203,0.29
58.81,-163.63,0.36
58.915,-162.13833,0.5
58.017,-171.142,1.97
57.93834,-171.93668,2.21
58.65675,-165.95083333333332,0.932
58.49167,-167.76667,0.5
58.36667,-168.93333,0.96
58.94,-163.275,0.42
58.708,-166.272,0.52
58.50333,-168.60333,1.05
57.95834,-172.67833,1.95
58.82,-165.575,0.33
59.002250000000004,-163.34425,0.851
57.82667,-173.56833,1.21
58.455,-169.21833,1.27
58.15,-171.652,2.41
57.942,-173.087,1.31
58.6,-168.213,1.04
59.00241666666667,-163.97958333333332,0.455
58.605,-168.202,1.17
58.22,-171.38,2.61
58.183,-171.75167,2.05
58.28833,-171.18666,1.77
59.042,-164.308,0.27
58.248,-171.98,2.2
58.40083,-171.0425,1.7046
59.002025,-165.9152,1.032
58.41817,-171.05167,1.6805
58.419670000000004,-171.04917,1.7532
58.37,-171.45,2.54
58.42733,-171.0455,1.7014
58.43567,-171.05117,1.6377
58.4375,-171.047,1.706
58.43683,-171.05383,1.7477
58.557,-170.167,1.61
59.22,-164.28,0.37
58.33,-172.217,2.23
58.70667,-169.52333,1.32
58.833,-168.483,1.48148
58.923,-167.805,0.41
58.767,-169.317,1.26
58.82,-168.952,0.22
59.32225,-164.02066666666667,0.522
58.35167,-172.69,2.11
58.98558333333334,-167.89233333333334,1.063
58.85,-169.283,2.96
59.267,-165.333,0.29
58.918,-168.812,0.46
59.31667,-164.9,0.31
58.483,-172.217,0.53
59.275,-165.56667,0.42
58.57,-172.01667,2.16
59.195,-167.27,0.34
58.41533,-173.6265,1.6409
58.34667,-174.11333,1.25
58.888,-170.467,0.46
58.895,-170.438,1.65
59.08,-169.237,1.27
58.58483,-172.954,1.6031
59.098,-169.252,0.52
58.608,-172.978,1.74
58.43017,-174.26917,1.586
59.325,-167.71167,0.49
58.5055,-173.95333,1.7926
59.34658333333333,-167.90158333333335,0.53
59.18667,-169.425,0.96
59.613,-165.45,0.26
59.313,-168.975,0.37
58.71333,-173.40334,1.87
59.065,-171.18,1.35
59.283,-169.516,0.87407
58.94833,-172.17333,2.1
59.725,-165.61667,0.32
58.92,-172.52,2.78
59.669250000000005,-166.62083333333334,0.979
58.71333,-174.10167,1.47
59.715,-166.408,2.86
58.525,-175.39999,2.61
59.648916666666665,-167.30908333333332,1.14
59.733,-166.458,1.34
59.192,-171.178,2.05
59.395,-169.933,1.24
59.858,-165.657,0.32
59.670249999999996,-167.71033333333332,1.199
58.72167,-174.85001,1.19
58.54,-176.10167,1.36
59.74167,-167.65,0.35
59.75,-167.683,0.41481
59.6,-169.39667,0.7
58.71665,-175.54665,1.56
58.71667,-175.54667,1.62
59.642,-169.2,0.46
58.54333,-176.68333,2.08
59.23333,-172.56667,1.57
58.68167,-176.02667,1.6
59.565,-170.317,1.45
59.645,-169.858,1.39
59.092,-173.875,1.72
58.81517,-175.5765,1.5597
59.283,-172.816,3.28889
59.10167,-174.085,2.14
58.72667,-176.32666,1.61
58.86017,-175.57383,1.5482
59.448,-171.9,1.83
59.325,-173.05167,2.22
59.933,-168.433,0.34
59.84333,-169.38833,0.77
59.09,-174.8,1.95
58.725,-177.03334,1.55
58.721,-177.05833,1.44
58.91833,-175.98666,1.77
58.75,-177.01334,1.71
58.76667,-176.95833,1.84
59.48833,-172.68167,2.35
58.78833,-176.91833,1.77
58.80833,-176.88333,1.94
58.83334,-176.83167,1.81
58.85,-176.8,1.82
59.825,-170.5,1.37
58.85833,-176.78334,1.84
59,-176,1.88
60.203,-167.577,0.38
60.22,-167.61,1.01
59.71067,-171.8815,1.7897
59.3265,-174.4615,1.5157
60.04,-169.487,1.58
59.48833,-173.76833,2.37
59.595,-173.08833,2.59
59.368,-174.597,1.82
