width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
78,J22,2,2,2,2,86,17.659,1.2,4.363528075,0.014132744,0.002204
78,J23,5,5,5,5,98,17.654,2,4.825662831,0.014478744,0.002223
78,J24,7,7,2,2,104,17.238,2.2,4.898351515,0.010564225,0.001779
78,J25,7,7,0,0,108,18.31,2.8,4.497124707,0.01693322,0.002364
78,JI2019,1,1,1,1,66,16.21,-1.4,3.256647755,0.013214119,0.001637
78,JI2120,0,0,1,1,71,16.959,-1.1,3.396841343,0.013854358,0.001986
78,JI2221,3,3,1,1,77,17.237,0.3,3.883139896,0.014156848,0.001922
78,K20,1,1,2,2,69,17.227,-1.4,3.628743979,0.014038138,0.001657
78,K21,2,2,3,3,73,16.812,-1.2,4.01417833,0.014244035,0.001774
78,K22,2,2,11,11,84,17.182,0.3,4.584010222,0.014312055,0.00179
78,K23,4,4,5,5,95,17.373,1.8,5.003959037,0.014136851,0.001984
78,K24,4,4,3,3,102,17.068,2.5,5.064305575,0.013814022,0.002303
78,K25,1,1,0,0,109,17.441,2.8,4.726845964,0.01565666,0.002086
78,L20,4,4,12,12,67,17.602,-1.1,3.825626356,0.014241084,0.001801
78,L21,5,5,5,5,73,16.83,-1.4,4.260148815,0.014195496,0.001732
78,L22,22,22,46,46,82,17.487,-0.1,4.762805981,0.014142943,0.001803
78,L23,12,12,1,1,92,17.397,1.2,5.095623434,0.014065082,0.001973
78,L24,5,5,2,2,101,17.608,2.1,5.139558957,0.014071393,0.002287
78,L25,9,9,6,6,112,17.441,2.6,4.907495526,0.01400404,0.002199
78,N20,8,8,14.1129,9,60,16.65,-1.2,4.226803119,0.014014547,0.001513
78,N21,6,6,22.3515,15,68,16.959,-1.5,4.659262716,0.013547802,0.001949
78,N22,6,6,19.3924,4,75,17.666,-1.5,4.932028292,0.01470491,0.001568
78,N24,4,4,22.3321,10,87,17.36,-0.4,5.126624379,0.013771977,0.002281
78,N25,3,3,1,1,102,17.654,1.6,5.248364893,0.014334626,0.002505
78,N26,3,3,0,0,110,17.28,2.1,5.396134818,0.014423914,0.002565
78,N27,2,2,0,0,120,17.873,2.4,5.454663137,0.014137261,0.002595
78,O20,2,2,0,0,56,17.214,-1.4,4.336545986,0.014288522,0.001493
78,O22,3,3,11.6472,4,72,18.317,-1.5,4.847790796,0.015305537,0.001688
78,O24,5,5,1,1,84,17.36,-1.1,4.952238978,0.01433885,0.001958
78,O25,3,3,9,9,95,17.654,-0.2,5.291280223,0.014905952,0.001766
78,O26,11,11,15,15,104,17.11,1.8,5.668704942,0.013623533,0.001917
78,O27,23,23,30,30,116,17.873,2.1,5.926751027,0.014444706,0.002441
78,ON2524,4,4,2,2,93,17.654,1.2,5.161146292,0.01480301,0.00174
78,ON2625,0,0,2,2,102,17.654,1.9,5.422878264,0.014216243,0.001867
78,P20,0,0,3.1718,1,53,16.541,-1.3,4.417112406,0.013527348,0.001825
78,P22,2,2,3.2977,1,69,17.975,-1.5,4.755803026,0.014511419,0.001909
78,P24,0,0,1,1,65,17.432,-1,4.740610892,0.014347497,0.001689
78,P25,0,0,1,1,75,17.444,-1.1,5.172185218,0.005858907,0.001701
78,P26,8,8,3,3,97,18.02,0.6,5.834476673,0.01460554,0.00235
78,P27,1,1,8,8,108,17.26,1.2,6.220015486,0.014115351,0.001956
78,P30,0,0,1,1,141,17.568,2.4,6.08594163,0.013706497,0.002482
78,P31,2,2,3,3,135,17.362,2,5.917210233,0.013540714,0.002941
78,P32,0,0,1,1,141,17.008,2.1,5.049570539,0.012877846,0.002357
78,PO2423,2,2,3,3,76,17.475,-1.3,4.763223757,0.014601968,0.001967
78,PO2524,2,2,2,2,80,17.738,-1.2,5.013458814,0.014387317,0.001763
78,PO2625,4,4,5,5,94,17.955,-0.3,5.502575852,0.014673258,0.002079
78,PO2726,7,7,15,15,106,17.782,1.3,5.964650876,0.014091204,0.002411
78,Q25,1,1,0,0,63,17.533,0,5.212279699,0.006895825,0.001558
78,Q26,6,6,0,0,90,19.413,-0.2,5.945693096,0.015632713,0.002159
78,Q30,4,4,7,7,137,18.04,2.1,6.254995441,0.014274615,0.002419
78,Q31,2,2,10,10,147,18.04,2,6.005221973,0.014006375,0.002255
78,QP2524,0,0,1,1,60,16.227,0.5,4.899938737,0.009324872,0.001514
78,QP2625,3,3,0,0,87,17.674,0.4,5.642188314,0.013995314,0.001856
78,QP2726,26,26,15,15,100,18.343,0.6,6.156088468,0.014455544,0.002417
78,R22,0,0,8.5312,1,62,18.679,-1.6,5.324869919,0.015313941,0.001636
78,R26,5.095,1,0,0,86,17.189,-0.8,5.983782248,0.013350664,0.002373
78,R29,99.725,12,188.5368,12,118,17.438,1.7,6.378360304,0.014067725,0.002035
78,R30,22,22,53.4224,16,129,18.04,2,6.348531674,0.014479741,0.0024
78,R31,15,15,34,34,147,18.177,2,6.085079067,0.014764589,0.002316
78,R32,0,0,4,4,162,18.177,2.5,5.085582753,0.014663897,0.002538
78,S28,5.448,2,0,0,102,16.785,1,6.443201463,0.013340289,0.002063
78,S29,35.32,6,203.2509,3,111,16.76,1.7,6.394496666,0.013452353,0.002414
78,S30,1,1,62.1193,1,122,17.873,1.9,6.3905984,0.013897558,0.001952
78,S31,7.035,1,49.9767,3,132,18.04,2.1,6.093261242,0.014232538,0.002154
78,T25,2.088,1,0,0,73,18.98,-1.4,5.657105228,0.015671389,0.001628
78,T30,42.332,8,0,0,117,17.873,1.8,6.407144772,0.013954879,0.001966
78,U26,0,0,11.7132,2,76,17.273,-1.4,5.880490713,0.013934615,0.001589
83,F18,2,2,5,5,107,17.882,2.3,3.309177913,0.013930624,0.002155
83,F22,5,5,6,6,113,17.814,3.7,3.66151186,0.01465671,0.001968
83,G18,1,1,4,4,81,17.73,-0.5,3.210886413,0.015709323,0.001757
83,G22,3,3,0,0,94,16.924,2.9,3.504982695,0.014116886,0.002027
83,H23,1,1,0,0,99,17.653,3.5,4.207180244,0.014313227,0.002664
83,I18,2,2,4,4,71,17.168,-0.2,3.464881134,0.01426035,0.001726
83,I21,0,0,2,2,73,15.877,-0.3,3.407365428,0.012535312,0.001424
83,I22,4,4,5.3776,4,84,16.847,1.8,3.995256604,0.013787421,0.002207
83,I23,18,18,5.8184,4,99,17.1,2.8,4.53177275,0.013869834,0.002579
83,IH2120,0,0,1,1,69,19.724,-0.5,3.084690721,0.01393945,0.001573
83,IH2221,0,0,1,1,74,16.502,2.8,3.536009676,0.013586867,0.001467
83,J18,0,0,2,2,69,17.01,-1.3,3.53616725,0.013955533,0.001729
83,J19,1,1,0,0,70,17.674,-1.4,3.383303385,0.016108009,0.001967
83,J20,1,1,2,2,70,17.531,-1.3,3.420389645,0.014342088,0.001781
83,J21,10,10,12.9696,7,74,21.313,-0.7,3.782849245,0.017883537,0.001866
83,J23,2,2,10,10,98,17.654,2,4.825662831,0.014478744,0.002223
83,J24,7,7,6,6,104,17.238,2.2,4.898351515,0.010564225,0.001779
83,J25,3,3,1,1,108,18.31,2.8,4.497124707,0.01693322,0.002364
83,JI2019,0,0,3,3,66,16.21,-1.4,3.256647755,0.013214119,0.001637
83,JI2120,0,0,2,2,71,16.959,-1.1,3.396841343,0.013854358,0.001986
83,JI2221,2,2,3,3,77,17.237,0.3,3.883139896,0.014156848,0.001922
83,K20,0,0,4,4,69,17.227,-1.4,3.628743979,0.014038138,0.001657
83,K21,1,1,12,12,73,16.812,-1.2,4.01417833,0.014244035,0.001774
83,K22,4,4,18,18,84,17.182,0.3,4.584010222,0.014312055,0.00179
83,K23,13,13,4,4,95,17.373,1.8,5.003959037,0.014136851,0.001984
83,K24,4,4,8,8,102,17.068,2.5,5.064305575,0.013814022,0.002303
83,K25,1,1,1,1,109,17.441,2.8,4.726845964,0.01565666,0.002086
83,L20,15,15,25,25,67,17.602,-1.1,3.825626356,0.014241084,0.001801
83,L21,4,4,10,10,73,16.83,-1.4,4.260148815,0.014195496,0.001732
83,L22,17,17,44,44,82,17.487,-0.1,4.762805981,0.014142943,0.001803
83,L23,9,9,5,5,92,17.397,1.2,5.095623434,0.014065082,0.001973
83,L24,8,8,5,5,101,17.608,2.1,5.139558957,0.014071393,0.002287
83,L25,11,11,3,3,112,17.441,2.6,4.907495526,0.01400404,0.002199
83,N20,3,3,17.2491,11,60,16.65,-1.2,4.226803119,0.014014547,0.001513
83,N21,5,5,2.9802,2,68,16.959,-1.5,4.659262716,0.013547802,0.001949
83,N22,1,1,19.3924,4,75,17.666,-1.5,4.932028292,0.01470491,0.001568
83,N24,2,2,27.9377,11,87,17.36,-0.4,5.126624379,0.013771977,0.002281
83,N25,4,4,1,1,102,17.654,1.6,5.248364893,0.014334626,0.002505
83,N26,2,2,2,2,110,17.28,2.1,5.396134818,0.014423914,0.002565
83,O20,1,1,0,0,56,17.214,-1.4,4.336545986,0.014288522,0.001493
83,O22,2,2,0,0,72,18.317,-1.5,4.847790796,0.015305537,0.001688
83,O24,2,2,4,4,84,17.36,-1.1,4.952238978,0.01433885,0.001958
83,O25,4,4,8,8,95,17.654,-0.2,5.291280223,0.014905952,0.001766
83,O26,9,9,8,8,104,17.11,1.8,5.668704942,0.013623533,0.001917
83,O27,19,19,14,14,116,17.873,2.1,5.926751027,0.014444706,0.002441
83,ON2524,1,1,4,4,93,17.654,1.2,5.161146292,0.01480301,0.00174
83,ON2625,1,1,3,3,102,17.654,1.9,5.422878264,0.014216243,0.001867
83,P22,1,1,6.5954,2,69,17.975,-1.5,4.755803026,0.014511419,0.001909
83,P24,0,0,1,1,65,17.432,-1,4.740610892,0.014347497,0.001689
83,P25,0,0,2,2,75,17.444,-1.1,5.172185218,0.005858907,0.001701
83,P26,5,5,3,3,97,18.02,0.6,5.834476673,0.01460554,0.00235
83,P27,4,4,5,5,108,17.26,1.2,6.220015486,0.014115351,0.001956
83,P31,1,1,4,4,135,17.362,2,5.917210233,0.013540714,0.002941
83,PO2524,1,1,8,8,80,17.738,-1.2,5.013458814,0.014387317,0.001763
